date,year,month,day,new_cases,new_deaths,local,travelers,prev_cases,prev_deaths,total_cases,total_deaths,month_avg_ratio,cumulative_avg_ratio,diff_avg_ratio,simple_ratio
6/28/2020,2020,6,28,21,1,1,0,22,0,1748,45,-0.5592830882352942,-0.6544012012679699,-0.10228123692619442,0.4484394587818269
6/29/2020,2020,6,29,5,0,1,0,21,1,1753,45,-0.8950674019607843,-0.9441560746609443,0.04063217201727806,0.0704549056902837
6/30/2020,2020,6,30,33,0,1,0,5,0,1786,45,-0.3074448529411765,-0.6353227570915553,-0.37640523370618,-0.13509560656493608
7/1/2020,2020,7,1,10,0,1,0,33,0,1796,45,-0.957555353602115,-0.8892279030368566,0.10167417981689267,0.10471332439948702
7/2/2020,2020,7,2,8,1,1,0,10,0,1804,46,-0.966044282881692,-0.7978031867364903,-0.09342556300159677,0.366904422253923
7/3/2020,2020,7,3,34,0,0,1,8,1,1838,46,-0.855688202247191,-0.6261395330904255,-0.35121776782286646,-0.17929568403681015
7/4/2020,2020,7,4,25,0,1,0,34,0,1863,46,-0.8938883840052875,-0.7266726892023351,-0.03012949001563886,0.33276691561075217
7/5/2020,2020,7,5,18,1,1,0,25,0,1881,47,-0.923599636483807,-0.6893552662722379,-0.048281844676121594,0.3246980504041845
7/6/2020,2020,7,6,12,0,1,0,18,1,1893,47,-0.949066424322538,-0.8688802561562623,-0.05726587154234148,0.2965604691710255
7/7/2020,2020,7,7,22,0,1,0,12,0,1915,47,-0.906621777924653,-0.7605614917454436,-0.20273425322528188,-0.34293001340076945
7/8/2020,2020,7,8,39,0,1,1,22,0,1954,47,-0.8344658790482485,-0.5808612122312014,-0.26625262693747725,-0.3527683285172586
7/9/2020,2020,7,9,66,0,1,1,39,0,2020,47,-0.719865333773959,-0.3087048199459752,-0.3553969514257808,-0.3669109064972118
7/10/2020,2020,7,10,71,0,1,0,66,0,2091,47,-0.6986430105750165,-0.2762238821299349,-0.15617031848092014,-0.5455854480185918
